"prod_no","prod_nm","amt","comp_ratio","cum_ratio","abc_rnk"
"5567114761",[핸드메이드] 라탄 매거진랙 잡지꽂이 수납함 집들이선물 노트북정리 책정리 바구니 이동식 유아 소형 책꽂이,616200,51.3611282444529648,51.3611282444529648,A
"5594328229",[핸드메이드] 감성 원형 라탄트레이 바구니 플레이트 접시 쟁반 홈카페 집들이선물,97200,8.1017553803324054,59.4628836247853702,A
"5621348298","1+1 기획전 파스텔 우드수저세트 숟가락 젓가락 옻칠수저세트 신혼부부 이사선물 모던 하우스",88000,7.3349225665560872,66.7978061913414573,A
"5624408079",[핸드메이드] 라탄 거울 물결 원형 카페 감성 벽걸이 인테리어 빈티지 휴양지 집들이 선물,60400,5.0344241252271325,71.8322303165685899,B
"5600531055",[핸드메이드] 라탄 손잡이 오픈박스 아기옷 기저귀 정리함 수건 장난감 다용도 수납 바구니,59200,4.9344024538650041,76.7666327704335939,B
"5649692098",여름 라탄 우드링 그물 네트백 휴가철 니트백 여행 뜨개가방 3color,56940,4.7460283061329955,81.5126610765665894,B
"5628205217",[핸드메이드] 라탄 원형 거울 빈티지 감성 카페 인테리어 현관 벽 붙이는 라운드,52400,4.3676129828129428,85.8802740593795322,B
"5589492650",[핸드메이드] 손잡이 원목 라탄트레이 마호가니 우드 감성 카페 간식 다용도 나무 쟁반,51800,4.3176021471318786,90.1978762065114108,C
"5582755839",라탄 등나무 카페 쟁반 나무발 월데코 테이블매트 빵 커피,51000,4.2509210328904596,94.4487972394018704,C
"5565758530",파스텔 우드수저세트 숟가락 젓가락 옻칠수저세트 신혼부부 이사선물 모던 하우스 캠핑 식기,27800,2.3171687198893094,96.7659659592911798,C
"5628001138",[핸드메이드] 라탄 라운드 3칸 수납 바구니 소쿠리 티백 커피 악세사리 차키 열쇠 보관함 정리함,19000,1.5836764632337006,98.3496424225248804,C
"5649771391",우드볼 친환경 티크 감성 원목 요거트볼 원형 간식 홈카페 샐러드 다이어트 간편 그릇 식기,12800,1.0668978278627036,99.4165402503875840,C
"5587112352",라탄 티코스터 천연 컵받침 소품 인테리어 원형 받침대 우드 나무 홈카페 빈티지,7000,0.58345974961241602347,100.0000000000000000,C
